Date,Wind,Rain,Surge
19790725,9.9716,7.874,29.8
19790815,23.9524,7.112,68.30000000000001
19790816,26.9336,23.876,67.0
19790817,9.9716,17.018,41.2
19790823,25.957,3.048,84.39999999999999
19790824,23.9524,49.022,69.39999999999999
19790825,21.9478,3.048,24.7
19800713,15.9854,22.098,25.3
19801013,18.9666,25.908,57.4
19810614,13.0042,2.032,51.1
19810615,8.995000000000001,1.016,39.2
19810622,7.967,1.016,24.9
19810723,13.0042,1.016,36.1
19810831,27.9616,11.938,99.0
19810901,26.9336,10.922,48.3
19810902,18.9666,4.064,35.7
19810903,15.9854,2.032,43.5
19820810,13.0042,1.016,42.4
19820811,18.9666,7.874,52.900000000000006
19820813,11.9762,2.032,20.0
19830926,34.952,18.034,142.4
19830927,31.9708,6.095999999999999,123.1
19840704,10.9996,11.938,22.8
19840705,8.995000000000001,2.032,16.900000000000002
19840730,14.957400000000002,5.08,45.8
19840731,18.9666,34.29,21.6
19840801,13.0042,0.508,26.3
19840808,16.962,0.254,36.8
19840820,17.990000000000002,2.032,63.3
19840826,8.995000000000001,0.254,35.3
19840827,6.0138,2.286,22.5
19850628,8.995000000000001,1.016,36.2
19850729,6.0138,1.016,34.599999999999994
19850731,16.962,35.559999999999995,40.400000000000006
19850801,15.9854,18.034,12.6
19850812,7.967,4.064,47.9
19850813,9.9716,0.508,52.7
19850817,13.9808,5.08,43.8
19850818,13.0042,48.00599999999999,18.6
19850901,6.0138,3.048,25.3
19850902,7.967,1.016,19.6
19851004,24.980400000000003,71.11999999999999,54.1
19851005,13.0042,5.08,36.9
19860624,8.995000000000001,9.398,22.3
19860826,21.9478,0.254,84.6
19860827,33.924,44.958,104.0
19860828,14.957400000000002,6.35,45.1
19860920,16.962,41.148,35.4
19870714,13.0042,1.27,47.3
19870715,13.9808,2.54,45.3
19870722,7.967,14.986,22.3
19870727,16.962,3.048,27.800000000000004
19870728,20.9712,4.571999999999999,20.5
19870830,14.957400000000002,4.064,50.6
19880807,22.975800000000003,23.622,47.6
19890720,14.957400000000002,2.032,43.0
19890721,13.0042,17.018,31.5
19890803,18.9666,72.898,67.5
19890804,10.9996,6.604,39.5
19890817,15.9854,2.032,45.8
19890820,7.967,3.048,26.5
19890824,11.9762,0.254,33.4
19890913,17.990000000000002,26.924,48.6
19890915,13.0042,4.064,31.0
19890916,9.9716,13.208,22.8
19900623,16.962,6.604,45.7
19900624,19.9946,22.098,44.6
19900625,10.9996,4.064,13.2
19900711,7.967,19.05,25.4
19900805,6.9904,6.095999999999999,24.5
19900830,21.9478,16.002,56.3
19900831,21.9478,38.1,60.1
19900901,14.957400000000002,8.889999999999999,15.0
19900904,8.995000000000001,1.016,22.9
19900905,7.967,4.064,26.200000000000003
19920831,15.9854,9.906,56.49999999999999
19920901,14.957400000000002,22.098,17.7
19920922,16.962,18.034,49.6
19920923,17.990000000000002,71.11999999999999,56.49999999999999
19920924,13.9808,0.508,31.9
19940610,7.967,20.066,20.7
19940611,9.9716,1.016,21.0
19940808,16.962,12.954,53.6
19940809,20.9712,68.072,48.8
19940810,8.995000000000001,12.954,31.2
19940811,6.9904,11.938,37.2
19940812,7.967,1.016,27.9
19940814,13.0042,54.102,38.5
19940815,10.9996,3.048,31.1
19940821,20.9712,37.084,64.1
